ptax_compra,ptax_venda,ptax_mid,mt5_close,date,diff_bps_venda,diff_bps_mid
5.16,5.1606,5.160299999999999,5.2059,2026-04-01,87.78049064062341,88.36695540956981
5.1649,5.1655,5.1652000000000005,5.2166,2026-04-02,98.92556383699531,99.51211956942464
5.1526,5.1532,5.1529,5.1899,2026-04-06,71.21788403322155,71.80422674610398
5.1619,5.1625,5.1622,5.1873,2026-04-07,48.03874092009673,48.62268025260399
5.0893,5.0899,5.0896,5.1052,2026-04-08,30.059529656770994,30.650738761395903
5.0815,5.0821,5.081799999999999,5.1314,2026-04-09,97.00714271659464,97.60321146050762
5.0223,5.0229,5.022600000000001,5.0595,2026-04-10,72.86627247207781,73.46792497909303
5.0238,5.0244,5.0241,5.0569,2026-04-13,64.68434041875597,65.28532473477826
4.98,4.9806,4.9803,5.0086,2026-04-14,56.21812633016197,56.82388611127976
4.9922,4.9928,4.9925,5.0217,2026-04-15,57.88335202691906,58.48773159739677
5.0001,5.0007,5.0004,5.0259,2026-04-16,50.3929449877015,50.99592032637405
4.9689,4.9695,4.9692,4.9856,2026-04-17,32.397625515645,33.00330033003294
4.9838,4.9844,4.9841,5.0222,2026-04-20,75.83661022389823,76.44308902309349
4.9647,4.9653,4.965,5.0036,2026-04-22,77.13531911465482,77.74420946626333
4.9533,4.9539,4.9536,4.9893,2026-04-23,71.45885060255576,72.06879844961298
5.0077,5.0083,5.008,5.0421,2026-04-24,67.48796996984882,68.0910543130982
4.9694,4.97,4.9697,5.0012,2026-04-27,62.77665995975879,63.38410769261788
4.9872,4.9878,4.9875,5.0216,2026-04-28,67.76534744777312,68.37092731829667
4.9979,4.9985,4.9982,5.0332,2026-04-29,69.42082624787427,70.02520907526738
4.988,4.9886,4.988300000000001,5.0322,2026-04-30,87.39927033636619,88.00593388528944
4.9581,4.9587,4.9584,4.993,2026-05-04,69.17135539556737,69.78057437883226
4.9236,4.9242,4.9239,4.9732,2026-05-05,99.50854961212049,100.12388553788779
4.9268,4.9274,4.927099999999999,4.9616,2026-05-06,69.4078012745063,70.02090479186626
