grupo,k_min,mean_bps,se_bps,n_eventos
"R$0,05",4,-0.09817738958122384,0.18171510795128978,1490
"R$0,05",5,0.09164025121450275,0.19690650552896358,1490
"R$0,05",6,0.0699703711878302,0.21336982148234018,1490
"R$0,05",7,-0.04247622588998942,0.23208924724591562,1490
"R$0,05",8,-0.07165871338892668,0.2477354388708216,1490
"R$0,05",9,-0.18893628351154218,0.26125667699817606,1490
"R$0,05",10,-0.2792801023725507,0.27179029378586417,1490
"R$0,05",11,-0.3441490450097697,0.2776576777176424,1490
"R$0,05",12,-0.37102839724347875,0.2907593933678601,1490
"R$0,05",13,-0.505511567968706,0.2968019207149831,1490
"R$0,05",14,-0.4256344524530711,0.31224707476765856,1490
"R$0,05",15,-0.3586197630519619,0.322266760700941,1490
"R$0,05",16,-0.3081785652048499,0.32848840127426887,1490
"R$0,05",17,-0.28162781923027963,0.3452322976195567,1490
"R$0,05",18,-0.24446033067183498,0.34581860709731577,1490
"R$0,05",19,-0.23767683691735547,0.356035998520977,1490
"R$0,05",20,-0.20475139207285822,0.36293189775906565,1490
"R$0,05",21,-0.05432338211622632,0.37590909102233594,1490
"R$0,05",22,-0.047438588242566825,0.3861526592994608,1490
"R$0,05",23,0.08108040357120863,0.40149823240890686,1490
"R$0,05",24,0.07833134514942489,0.411671141731827,1490
"R$0,05",25,0.031190791295059812,0.4176365052795193,1490
"R$0,05",26,-0.025989368015037897,0.4209167743376335,1490
"R$0,05",27,-0.08606548719481445,0.42648517892079335,1490
"R$0,05",28,-0.051126290454893815,0.43849195409475145,1490
"R$0,05",29,0.007079523052269997,0.4461187942568863,1490
"R$0,05",30,0.13704560956068723,0.45084217464675413,1490
"R$0,01 (placebo)",-10,-4.886464851507359,0.14074783254481543,7386
"R$0,01 (placebo)",-9,-4.858559501633018,0.13391180285270504,7386
"R$0,01 (placebo)",-8,-4.978079686089078,0.12801231492172965,7386
"R$0,01 (placebo)",-7,-4.980237621453163,0.12097645246091975,7386
"R$0,01 (placebo)",-6,-4.988955244144416,0.1134958600164851,7386
